source	target	weight	resources	references	sign_decision
ELK1	PTGS2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17505916;CollecTRI:23818898	PMID
ETS1	PTGS2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17505916	PMID
NR4A2	BDNF	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:17506860;CollecTRI:22294685;CollecTRI:23973300	default activation
FOXC2	MYOD1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17506979	default activation
MAF	CSF2	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:17507085	PMID
MAF	IL5	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TRRUST_CollecTRI	CollecTRI:11295643;CollecTRI:15187104;CollecTRI:16498264;CollecTRI:17032631;CollecTRI:17507085	PMID
HNF1A	NR1H4	1.0	CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17507182;CollecTRI:22290433	PMID
ERF	UTRN	-1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:17507653	PMID
SP8	FGF8	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:17509151	PMID
EMX2	FGF8	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17509151	default activation
EMX2	SP8	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17509151	default activation
RBPJ	FHL1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17509614;CollecTRI:9418910	default activation
NRF1	SP7	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17510056	default activation
SMARCA1	TYMS	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17510060	default activation
HMGA1	KRAS	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17510387	default activation
HMGA1	CCND1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17510394	default activation
JUN	HINT1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17510397	default activation
ESRRG	CDKN1B	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17510420;CollecTRI:23977052	default activation
FOXA2	NEUROD1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17510498	default activation
FOXO1	MAFA	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17510498	PMID
FOXO1	NEUROD1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17510498	PMID
OLIG2	NOTCH1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17510983	regulon
ESR1	PC	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17511620	default activation
SP3	CD74	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17511886	default activation
RELA	SKP2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17513606	PMID
NFKB1	CD40	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:11027342;CollecTRI:11313274;CollecTRI:17031478;CollecTRI:17513725;CollecTRI:19164127;CollecTRI:9733827	PMID
NFKB1	IL1A	-1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:17513725;CollecTRI:17612514	PMID
REL	CD40	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17513725	default activation
REL	IL1A	1.0	CollecTRI;CytReg_CollecTRI;ExTRI_CollecTRI	CollecTRI:17513725;CollecTRI:23195252	PMID
NR3C1	DUSP1	1.0	CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17513787;CollecTRI:18682532;CollecTRI:20858750;CollecTRI:23572530;CollecTRI:24418482	PMID
ESR1	FGFR3	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17515612	default activation
IRF1	RIGI	1.0	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:17516545;CollecTRI:21811588;CollecTRI:22391244	PMID
SOX10	TYR	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:16757562;CollecTRI:17516925;CollecTRI:21210960	PMID
SIX4	HMGCR	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17517128	default activation
SP1	APOBEC3G	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17517765	default activation
SP3	APOBEC3G	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17517765	default activation
DNMT1	MSRB1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17519015	default activation
SP1	MSRB1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17519015	default activation
HSF1	EYA1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17519035	default activation
HSF1	TACR1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17519035	default activation
MBD2	SF1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17519303	default activation
TBX2	SHH	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:17300775;CollecTRI:17519333	PMID
SPI1	IGFBP3	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17519354	default activation
NRG1	GHRHR	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17521572	default activation
AR	CDKN1B	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17522055;CollecTRI:18687691	default activation
FOXO3	AR	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:16061480;CollecTRI:17522055;CollecTRI:18687691	PMID
HR	FFAR1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17525159;CollecTRI:22308370	default activation
SP1	SNAI2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17525203	PMID
SRY	COL4A2	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17525254	default activation
SOX9	COL4A2	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17525254	PMID
STAT5A	TERT	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17525530;CollecTRI:21356308;CollecTRI:22402124	default activation
ERF	CDK1	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17525531	PMID
ETV3	CDK1	-1.0	CollecTRI;ExTRI_CollecTRI;GOA_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:12007404;CollecTRI:17525531	PMID
TFAP2A	ESR2	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:17525739	PMID
STAT1	MUC4	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:17525742;CollecTRI:19757157;CollecTRI:22537161;CollecTRI:22757586	PMID
CREB1	PPP2CA	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:17526027;CollecTRI:19155497;CollecTRI:19750005	PMID
FOXM1	SERPINA1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17526725	PMID
FOXM1	SERPINA10	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17526725	PMID
FOXM1	SERPINA6	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:17526725	PMID
ONECUT1	SERPINA1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17526725	default activation
ONECUT1	SERPINA10	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:17526725	PMID
ONECUT1	SERPINA6	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:17526725	PMID
SP1	MGAT1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17530395	default activation
MYOG	CELF1	1.0	CollecTRI;ExTRI_CollecTRI;GOA_CollecTRI	CollecTRI:17531403	PMID
HLX	CSF1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17532041	default activation
HTATIP2	IGF1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17533366	default activation
HTATIP2	CCN5	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:17533366	default activation
